№,Name,Price,Image URL
82,"  DIGMA    / Ноутбук EVE 15 C423 15.6"" Ryzen 3 3200U 16Gb SSD512Gb W11Pro             ",                    30 591 ₽                ,https://basket-10.wbbasket.ru/vol1530/part153035/153035406/images/c516x688/1.jpg
83,"     lenovo    / Ноутбук 82HL005TRK(Cel 15,6 1Тб 4Гб UMA noOS)             ",                    29 380 ₽                ,https://basket-10.wbbasket.ru/vol1388/part138864/138864375/images/c516x688/1.jpg
84,"  DIGMA    / Ноутбук EVE 15 C423 15.6"" Ryzen 3 3200U 8Gb SSD512Gb W11Pro             ",                    28 891 ₽                ,https://basket-12.wbbasket.ru/vol1811/part181176/181176233/images/c516x688/1.jpg
85,     Acer    / Ноутбук Aspire 3 A314-35 NX.A7SER.00G             ,                    29 648 ₽                ,https://basket-12.wbbasket.ru/vol1723/part172331/172331070/images/c516x688/1.jpg
86,     Apple    / MacBook Air 13 M2 8 256 (Space Grey)             ,                    107 433 ₽                ,https://basket-12.wbbasket.ru/vol1722/part172232/172232336/images/c516x688/1.jpg
87,     lenovo    / Ноутбук Legion 5 Pro             ,                    155 805 ₽                ,https://basket-13.wbbasket.ru/vol1964/part196451/196451519/images/c516x688/1.jpg
88,     Asus    / Ноутбук игровой VivoBook Pro 15 M6500QC-HN089             ,                    79 891 ₽                ,https://basket-10.wbbasket.ru/vol1403/part140304/140304110/images/c516x688/1.jpg
89,     Acer    / Ноутбук Aspire 3 A315-35 NX.A6LER.004             ,                    33 993 ₽                ,https://basket-12.wbbasket.ru/vol1723/part172331/172331046/images/c516x688/1.jpg
90,     lenovo    / Игровой ноутбук Legion Slim 5 16APH8 [82Y9001PRK]             ,                    88 732 ₽                ,https://basket-12.wbbasket.ru/vol1799/part179950/179950270/images/c516x688/1.jpg
91,  DIGMA    / Ноутбук Magnus M Ryzen 5 5600U 16Gb SSD512Gb W11P             ,                    52 691 ₽                ,https://basket-11.wbbasket.ru/vol1628/part162896/162896740/images/c516x688/1.jpg
92,  TopTrend    / Ноутбук FRBBY V16 Pro             ,                    25 925 ₽                ,https://basket-12.wbbasket.ru/vol1886/part188649/188649197/images/c516x688/1.jpg
93,     lenovo    / Игровой ноутбук Legion Pro 5 16IRX8 [82WK003VRK]             ,                    139 025 ₽                ,https://basket-13.wbbasket.ru/vol1960/part196045/196045518/images/c516x688/1.jpg
94,"  Ноутбук 14"" IPS 4-Ядра 8GB SSD 256GB    / Ноутбук 14"" 4-Ядра IPS 1920х1080 FHD RAM 8Gb SSD 256Gb             ",                    18 492 ₽                ,https://basket-13.wbbasket.ru/vol2023/part202373/202373744/images/c516x688/1.jpg
95,"     lenovo    / Ноутбук ThinkPad T480 i5-8250U 14""             ",                    32 663 ₽                ,https://basket-10.wbbasket.ru/vol1586/part158602/158602316/images/c516x688/1.jpg
96,"  Smartx    / Ноутбук 14.1"" W10pro SSD512GB Intel Celeron J4105 6 GB             ",                    21 705 ₽                ,https://basket-12.wbbasket.ru/vol1692/part169234/169234407/images/c516x688/1.jpg
97,     Infinix    / Inbook Y1 NEO XL30             ,                    27 668 ₽                ,https://basket-12.wbbasket.ru/vol1776/part177640/177640375/images/c516x688/1.jpg
